activity	time	p	p_peak	p_smooth
Playing baseball	220	0	0	0
Running	225	9.72E-06	0.006628707	0.007204864
Playing racquet sports	225	0	0	0
Weightlifting/strength training	225	8.63E-06	0.005392016	0.005392016
Hiking	225	0	0	0
Biking	225	0	0	0
Walking	225	5.66E-05	0.012233969	0.011986164
Using cardiovascular equipment	225	3.91E-05	0.029319991	0.027923902
Participating in water sports	225	1.53E-05	0.004776104	0.003525236
Playing basketball	225	0	0	0
"Working out, unspecified"	225	7.72E-05	0.022217045	0.026905537
"Skiing, ice skating, snowboarding"	225	0	0	0
Doing yoga	225	0	0	0
Playing billiards	225	7.93E-06	0.009670745	0.009670745
Fishing	225	2.02E-05	0.012107943	0.012107943
Dancing	225	4.39E-05	0.058836674	0.058836674
Playing football	225	0	0	0
Vehicle touring/racing	225	0	0	0
Softball	225	0	0	0
Playing soccer	225	0	0	0
Doing aerobics	225	6.30E-06	0.010301136	0.006867424
Hunting	225	2.79E-05	0.025690074	0.022024949
Participating in martial arts	225	0	0	0
Bowling	225	0	0	0
Rollerblading	225	2.66E-05	0.083391882	0.083391882
Golfing	225	0	0	0
Playing volleyball	225	0	0	0
Boating	225	2.02E-05	0.029966049	0.029966049
Playing baseball	225	0	0	0
Running	230	1.22E-05	0.008357176	0.009776723
Playing racquet sports	230	0	0	0
Weightlifting/strength training	230	8.63E-06	0.005392016	0.005392016
Hiking	230	0	0	0
Biking	230	0	0	0
Walking	230	5.13E-05	0.011088124	0.011725259
Using cardiovascular equipment	230	3.91E-05	0.029319991	0.025808505
Participating in water sports	230	1.53E-05	0.004776104	0.004776104
Playing basketball	230	0	0	0
"Working out, unspecified"	230	1.07E-04	0.030822087	0.027606566
"Skiing, ice skating, snowboarding"	230	0	0	0
Doing yoga	230	0	0	0
Playing billiards	230	7.93E-06	0.009670745	0.009670745
Fishing	230	2.02E-05	0.012107943	0.012107943
Dancing	230	4.39E-05	0.058836674	0.058836674
Playing football	230	0	0	0
Vehicle touring/racing	230	0	0	0
Softball	230	0	0	0
Playing soccer	230	0	0	0
Doing aerobics	230	6.30E-06	0.010301136	0.006867424
Hunting	230	1.81E-05	0.016647181	0.019661478
Participating in martial arts	230	0	0	0
Bowling	230	0	0	0
Rollerblading	230	2.66E-05	0.083391882	0.083391882
Golfing	230	0	0	0
Playing volleyball	230	0	0	0
Boating	230	2.02E-05	0.029966049	0.029966049
Playing baseball	230	0	0	0
Running	235	2.10E-05	0.014344285	0.041572698
Playing racquet sports	235	0	0	0
Weightlifting/strength training	235	8.63E-06	0.005392016	0.019139199
Hiking	235	0	0	0.002694018
Biking	235	0	0	0
Walking	235	5.48E-05	0.011853684	0.02040653
Using cardiovascular equipment	235	2.50E-05	0.018785533	0.048847662
Participating in water sports	235	1.53E-05	0.004776104	0.006798791
Playing basketball	235	0	0	8.65E-04
"Working out, unspecified"	235	1.04E-04	0.029780567	0.060791134
"Skiing, ice skating, snowboarding"	235	0	0	0
Doing yoga	235	0	0	0.004213672
Playing billiards	235	7.93E-06	0.009670745	0.013954504
Fishing	235	2.02E-05	0.012107943	0.032686466
Dancing	235	4.39E-05	0.058836674	0.067568448
Playing football	235	0	0	0
Vehicle touring/racing	235	0	0	0
Softball	235	0	0	0
Playing soccer	235	0	0	0
Doing aerobics	235	0	0	0.006075069
Hunting	235	1.81E-05	0.016647181	0.051968256
Participating in martial arts	235	0	0	0.01074589
Bowling	235	0	0	0
Rollerblading	235	2.66E-05	0.083391882	0.087525448
Golfing	235	0	0	0
Playing volleyball	235	0	0	0
Boating	235	2.02E-05	0.029966049	0.029966049
Playing baseball	235	0	0	0
Running	240	1.50E-04	0.102016632	0.078561732
Playing racquet sports	240	0	0	0
Weightlifting/strength training	240	7.46E-05	0.046633565	0.03203668
Hiking	240	4.09E-06	0.008082054	0.005388036
Biking	240	0	0	0
Walking	240	1.77E-04	0.03827778	0.028037405
Using cardiovascular equipment	240	1.31E-04	0.098437462	0.076974572
Participating in water sports	240	3.47E-05	0.010844166	0.008821479
Playing basketball	240	5.42E-06	0.002593707	0.001729138
"Working out, unspecified"	240	4.23E-04	0.121770747	0.091266031
"Skiing, ice skating, snowboarding"	240	0	0	0
Doing yoga	240	5.40E-06	0.012641015	0.012739089
Playing billiards	240	1.85E-05	0.022522022	0.018238263
Fishing	240	1.23E-04	0.073843514	0.052809251
Dancing	240	6.34E-05	0.085031995	0.064781228
Playing football	240	0	0	0
Vehicle touring/racing	240	0	0	0
Softball	240	0	0	0
Playing soccer	240	0	0	0
Doing aerobics	240	4.85E-06	0.00792407	0.005282713
Hunting	240	1.33E-04	0.122610405	0.093452492
Participating in martial arts	240	9.82E-06	0.03223767	0.02149178
Bowling	240	0	0	0
Rollerblading	240	3.05E-05	0.095792579	0.091659013
Golfing	240	0	0	0
Playing volleyball	240	0	0	0
Boating	240	2.02E-05	0.029966049	0.029966049
Playing baseball	240	0	0	0
Running	245	1.75E-04	0.119324279	0.114804067
Playing racquet sports	245	0	0	0
Weightlifting/strength training	245	7.06E-05	0.044084459	0.044934161
Hiking	245	4.09E-06	0.008082054	0.008082054
Biking	245	0	0	0
Walking	245	1.57E-04	0.03398075	0.035413093
Using cardiovascular equipment	245	1.52E-04	0.113700722	0.108153983
Participating in water sports	245	3.47E-05	0.010844166	0.010844166
Playing basketball	245	5.42E-06	0.002593707	0.002593707
"Working out, unspecified"	245	4.25E-04	0.122246778	0.122759425
"Skiing, ice skating, snowboarding"	245	0	0	0
Doing yoga	245	1.09E-05	0.025576253	0.021264507
Playing billiards	245	1.85E-05	0.022522022	0.022522022
Fishing	245	1.21E-04	0.072476297	0.072932036
Dancing	245	3.76E-05	0.050475015	0.056736172
Playing football	245	0	0	0
Vehicle touring/racing	245	0	0	0
Softball	245	0	0	0
Playing soccer	245	0	0	0
Doing aerobics	245	4.85E-06	0.00792407	0.00792407
Hunting	245	1.53E-04	0.141099891	0.135752372
Participating in martial arts	245	9.82E-06	0.03223767	0.033833814
Bowling	245	0	0	0
Rollerblading	245	3.05E-05	0.095792579	0.095792579
Golfing	245	0	0	0
Playing volleyball	245	0	0	0
Boating	245	2.02E-05	0.029966049	0.029966049
Playing baseball	245	0	0	0
Running	250	1.80E-04	0.123071291	0.121822287
Playing racquet sports	250	0	0	0
Weightlifting/strength training	250	7.06E-05	0.044084459	0.046472268
Hiking	250	4.09E-06	0.008082054	0.008082054
Biking	250	0	0	0
Walking	250	1.57E-04	0.03398075	0.03526715
Using cardiovascular equipment	250	1.50E-04	0.112323765	0.121027887
Participating in water sports	250	3.47E-05	0.010844166	0.010844166
Playing basketball	250	5.42E-06	0.002593707	0.002593707
"Working out, unspecified"	250	4.32E-04	0.12426075	0.125572723
"Skiing, ice skating, snowboarding"	250	0	0	0
Doing yoga	250	1.09E-05	0.025576253	0.034003531
Playing billiards	250	1.85E-05	0.022522022	0.022522022
Fishing	250	1.21E-04	0.072476297	0.07281075
Dancing	250	2.59E-05	0.034701507	0.039959343
Playing football	250	0	0	0
Vehicle touring/racing	250	0	0	0
Softball	250	0	0	0
Playing soccer	250	0	0	0
Doing aerobics	250	4.85E-06	0.00792407	0.00792407
Hunting	250	1.56E-04	0.143546821	0.142731177
Participating in martial arts	250	1.13E-05	0.037026103	0.035429959
Bowling	250	0	0	0
Rollerblading	250	3.05E-05	0.095792579	0.095792579
Golfing	250	0	0	0
Playing volleyball	250	0	0	0
Boating	250	2.02E-05	0.029966049	0.029966049
Playing baseball	250	0	0	0
Running	255	1.80E-04	0.123071291	0.124230331
Playing racquet sports	255	0	0	0
Weightlifting/strength training	255	8.20E-05	0.051247888	0.049469149
Hiking	255	4.09E-06	0.008082054	0.008082054
Biking	255	0	0	0
Walking	255	1.75E-04	0.037839952	0.038021462
Using cardiovascular equipment	255	1.83E-04	0.137059176	0.128445288
Participating in water sports	255	3.47E-05	0.010844166	0.010605684
Playing basketball	255	5.42E-06	0.002593707	0.002593707
"Working out, unspecified"	255	4.53E-04	0.130210642	0.127353536
"Skiing, ice skating, snowboarding"	255	0	0	0
Doing yoga	255	2.17E-05	0.050858086	0.042430808
Playing billiards	255	1.85E-05	0.022522022	0.022522022
Fishing	255	1.23E-04	0.073479655	0.073145203
Dancing	255	2.59E-05	0.034701507	0.036330825
Playing football	255	0	0	0
Vehicle touring/racing	255	0	0	0
Softball	255	0	0	0
Playing soccer	255	0	0	0
Doing aerobics	255	4.85E-06	0.00792407	0.00792407
Hunting	255	1.56E-04	0.143546821	0.143546821
Participating in martial arts	255	1.13E-05	0.037026103	0.037026103
Bowling	255	0	0	0
Rollerblading	255	3.05E-05	0.095792579	0.095792579
Golfing	255	0	0	0
Playing volleyball	255	0	0	0
Boating	255	2.02E-05	0.029966049	0.029966049
Playing baseball	255	0	0	0
Running	260	1.85E-04	0.126548413	0.118663852
Playing racquet sports	260	0	0	0
Weightlifting/strength training	260	8.49E-05	0.0530751	0.056761239
Hiking	260	4.09E-06	0.008082054	0.008082054
Biking	260	0	0	0
Walking	260	1.95E-04	0.042243685	0.040025712
Using cardiovascular equipment	260	1.81E-04	0.135952925	0.136321675
Participating in water sports	260	3.24E-05	0.010128721	0.011691114
Playing basketball	260	5.42E-06	0.002593707	0.002593707
"Working out, unspecified"	260	4.44E-04	0.127589217	0.129549729
"Skiing, ice skating, snowboarding"	260	0	0	0
Doing yoga	260	2.17E-05	0.050858086	0.050858086
Playing billiards	260	1.85E-05	0.022522022	0.022522022
Fishing	260	1.23E-04	0.073479655	0.073479655
Dancing	260	2.95E-05	0.039589461	0.037960143
Playing football	260	0	0	0
Vehicle touring/racing	260	0	0	0
Softball	260	0	0	0
Playing soccer	260	0	0	0
Doing aerobics	260	4.85E-06	0.00792407	0.005656267
Hunting	260	1.56E-04	0.143546821	0.143983996
Participating in martial arts	260	1.13E-05	0.037026103	0.037026103
Bowling	260	0	0	0
Rollerblading	260	3.05E-05	0.095792579	0.087285898
Golfing	260	0	0	0
Playing volleyball	260	0	0	0
Boating	260	2.02E-05	0.029966049	0.029966049
Playing baseball	260	0	0	0
Running	265	1.56E-04	0.106371854	0.127955554
Playing racquet sports	265	0	0	0
Weightlifting/strength training	265	1.06E-04	0.065960731	0.065007491
Hiking	265	4.09E-06	0.008082054	0.01085165
Biking	265	0	0	0.002716477
Walking	265	1.85E-04	0.039993501	0.047782688
Using cardiovascular equipment	265	1.81E-04	0.135952925	0.156070597
Participating in water sports	265	4.52E-05	0.014100455	0.012776543
Playing basketball	265	5.42E-06	0.002593707	0.002593707
"Working out, unspecified"	265	4.55E-04	0.13084933	0.146032096
"Skiing, ice skating, snowboarding"	265	0	0	0
Doing yoga	265	2.17E-05	0.050858086	0.055277244
Playing billiards	265	1.85E-05	0.022522022	0.022522022
Fishing	265	1.23E-04	0.073479655	0.073479655
Dancing	265	2.95E-05	0.039589461	0.039589461
Playing football	265	0	0	0
Vehicle touring/racing	265	0	0	0
Softball	265	0	0	0
Playing soccer	265	0	0	0
Doing aerobics	265	6.85E-07	0.001120662	0.005009432
Hunting	265	1.57E-04	0.144858346	0.149030825
Participating in martial arts	265	1.13E-05	0.037026103	0.042984414
Bowling	265	0	0	0
Rollerblading	265	2.24E-05	0.070272535	0.078779216
Golfing	265	0	0	0
Playing volleyball	265	0	0	0
Boating	265	2.02E-05	0.029966049	0.031681041
Playing baseball	265	0	0	0
Running	270	2.21E-04	0.150946397	0.128215663
Playing racquet sports	270	0	0	0
Weightlifting/strength training	270	1.22E-04	0.075986644	0.0732023
Hiking	270	8.29E-06	0.016390844	0.013621247
Biking	270	6.76E-06	0.008149432	0.005432955
Walking	270	2.83E-04	0.061110878	0.053315939
Using cardiovascular equipment	270	2.62E-04	0.196305941	0.183403954
Participating in water sports	270	4.52E-05	0.014100455	0.014173498
Playing basketball	270	5.42E-06	0.002593707	0.002593707
"Working out, unspecified"	270	6.25E-04	0.179657741	0.157223616
"Skiing, ice skating, snowboarding"	270	0	0	0
Doing yoga	270	2.74E-05	0.064115561	0.051269125
Playing billiards	270	1.85E-05	0.022522022	0.021030841
Fishing	270	1.23E-04	0.073479655	0.073813905
Dancing	270	2.95E-05	0.039589461	0.038632347
Playing football	270	0	0	0
Vehicle touring/racing	270	0	0	0
Softball	270	0	0	0
Playing soccer	270	0	0	0
Doing aerobics	270	3.66E-06	0.005983564	0.004362597
Hunting	270	1.72E-04	0.158687308	0.156832497
Participating in martial arts	270	1.67E-05	0.054901036	0.048942725
Bowling	270	0	0	0
Rollerblading	270	2.24E-05	0.070272535	0.050981922
Golfing	270	0	0	0
Playing volleyball	270	0	0	0
Boating	270	2.36E-05	0.035111026	0.033396034
Playing baseball	270	0	0	0
Running	275	1.87E-04	0.127328738	0.137656006
Playing racquet sports	275	0	0	0
Weightlifting/strength training	275	1.24E-04	0.077659525	0.079344892
Hiking	275	8.29E-06	0.016390844	0.016390844
Biking	275	6.76E-06	0.008149432	0.0118507
Walking	275	2.72E-04	0.058843437	0.060423555
Using cardiovascular equipment	275	0.000290484	0.217952996	0.214916206
Participating in water sports	275	4.59E-05	0.014319585	0.015287409
Playing basketball	275	5.42E-06	0.002593707	0.002593707
"Working out, unspecified"	275	5.60E-04	0.161163777	0.172506612
"Skiing, ice skating, snowboarding"	275	0	0	0
Doing yoga	275	1.66E-05	0.038833728	0.053058225
Playing billiards	275	1.48E-05	0.01804848	0.019539661
Fishing	275	1.24E-04	0.074482404	0.075040014
Dancing	275	2.74E-05	0.036718118	0.037675232
Playing football	275	0	0	0
Vehicle touring/racing	275	0	0	0
Softball	275	0	0	0
Playing soccer	275	0	0	0
Doing aerobics	275	3.66E-06	0.005983564	0.008103553
Hunting	275	1.81E-04	0.166951838	0.165523968
Participating in martial arts	275	1.67E-05	0.054901036	0.054901036
Bowling	275	0	0	0
Rollerblading	275	3.95E-06	0.012400697	0.03169131
Golfing	275	0	0	0
Playing volleyball	275	0	0	0
Boating	275	2.36E-05	0.035111026	0.035111026
Playing baseball	275	0	0	0
Running	280	1.97E-04	0.134692883	0.133083712
Playing racquet sports	280	0	0	0
Weightlifting/strength training	280	1.35E-04	0.084388509	0.091425168
Hiking	280	8.29E-06	0.016390844	0.016390844
Biking	280	1.60E-05	0.019253237	0.018008152
Walking	280	2.83E-04	0.061316351	0.061663204
Using cardiovascular equipment	280	3.07E-04	0.230489681	0.246353968
Participating in water sports	280	5.59E-05	0.017442189	0.017119098
Playing basketball	280	5.42E-06	0.002593707	0.002593707
"Working out, unspecified"	280	6.14E-04	0.176698317	0.175007217
"Skiing, ice skating, snowboarding"	280	0	0	0
Doing yoga	280	2.40E-05	0.056225385	0.050428166
Playing billiards	280	1.48E-05	0.01804848	0.01804848
Fishing	280	1.29E-04	0.077157983	0.082900193
Dancing	280	2.74E-05	0.036718118	0.036718118
Playing football	280	0	0	0
Vehicle touring/racing	280	0	0	0
Softball	280	0	0	0
Playing soccer	280	0	0	0
Doing aerobics	280	7.55E-06	0.012343531	0.010223542
Hunting	280	1.86E-04	0.170932759	0.173091766
Participating in martial arts	280	1.67E-05	0.054901036	0.054901036
Bowling	280	0	0	0
Rollerblading	280	3.95E-06	0.012400697	0.012400697
Golfing	280	0	0	0
Playing volleyball	280	0	0	0
Boating	280	2.36E-05	0.035111026	0.035111026
Playing baseball	280	0	0	0
Running	285	2.01E-04	0.137229514	0.135613061
Playing racquet sports	285	0	0	0
Weightlifting/strength training	285	1.80E-04	0.112227472	0.108462914
Hiking	285	8.29E-06	0.016390844	0.016390844
Biking	285	2.21E-05	0.026621786	0.024165603
Walking	285	3.00E-04	0.064829825	0.064040915
Using cardiovascular equipment	285	3.87E-04	0.290619227	0.275766687
Participating in water sports	285	6.28E-05	0.019595521	0.020308161
Playing basketball	285	5.42E-06	0.002593707	0.002593707
"Working out, unspecified"	285	6.51E-04	0.187159556	0.181722166
"Skiing, ice skating, snowboarding"	285	0	0	0
Doing yoga	285	2.40E-05	0.056225385	0.056225385
Playing billiards	285	1.48E-05	0.01804848	0.01804848
Fishing	285	1.62E-04	0.097060193	0.090426123
Dancing	285	2.74E-05	0.036718118	0.036718118
Playing football	285	0	0	0
Vehicle touring/racing	285	0	0	0
Softball	285	0	0	0
Playing soccer	285	0	0	0
Doing aerobics	285	7.55E-06	0.012343531	0.012343531
Hunting	285	1.97E-04	0.1813907	0.17790472
Participating in martial arts	285	1.67E-05	0.054901036	0.054901036
Bowling	285	0	0	0
Rollerblading	285	3.95E-06	0.012400697	0.012400697
Golfing	285	0	0	0
Playing volleyball	285	0	0	0
Boating	285	2.36E-05	0.035111026	0.035111026
Playing baseball	285	0	0	0
Running	290	1.98E-04	0.134916785	0.134462172
Playing racquet sports	290	0	0	0
Weightlifting/strength training	290	2.06E-04	0.128772762	0.133524672
Hiking	290	8.29E-06	0.016390844	0.016390844
Biking	290	2.21E-05	0.026621786	0.026621786
Walking	290	3.05E-04	0.065976569	0.066603936
Using cardiovascular equipment	290	4.08E-04	0.306191153	0.29139016
Participating in water sports	290	7.65E-05	0.023886775	0.022456357
Playing basketball	290	5.42E-06	0.002593707	0.002593707
"Working out, unspecified"	290	6.30E-04	0.181308625	0.187577341
"Skiing, ice skating, snowboarding"	290	0	0	0
Doing yoga	290	2.40E-05	0.056225385	0.053227874
Playing billiards	290	1.48E-05	0.01804848	0.01804848
Fishing	290	1.62E-04	0.097060193	0.097617924
Dancing	290	2.74E-05	0.036718118	0.036718118
Playing football	290	0	0	0
Vehicle touring/racing	290	0	0	0
Softball	290	0	0	0
Playing soccer	290	0	0	0
Doing aerobics	290	7.55E-06	0.012343531	0.010722563
Hunting	290	1.97E-04	0.1813907	0.181946566
Participating in martial arts	290	1.67E-05	0.054901036	0.054901036
Bowling	290	0	0	0
Rollerblading	290	3.95E-06	0.012400697	0.012400697
Golfing	290	0	0	0
Playing volleyball	290	0	0	0
Boating	290	2.36E-05	0.035111026	0.035111026
Playing baseball	290	0	0	0
Running	295	1.92E-04	0.131240216	0.197145869
Playing racquet sports	295	0	0	0
Weightlifting/strength training	295	2.55E-04	0.159573782	0.170885501
Hiking	295	8.29E-06	0.016390844	0.016390844
Biking	295	2.21E-05	0.026621786	0.048462558
Walking	295	3.19E-04	0.069005414	0.0849821
Using cardiovascular equipment	295	3.70E-04	0.277360098	0.346779432
Participating in water sports	295	7.65E-05	0.023886775	0.023886775
Playing basketball	295	5.42E-06	0.002593707	0.002593707
"Working out, unspecified"	295	6.75E-04	0.194263841	0.241700109
"Skiing, ice skating, snowboarding"	295	0	0	0
Doing yoga	295	2.02E-05	0.047232852	0.087634822
Playing billiards	295	1.48E-05	0.01804848	0.01804848
Fishing	295	1.65E-04	0.098733385	0.099324672
Dancing	295	2.74E-05	0.036718118	0.036718118
Playing football	295	0	0	0
Vehicle touring/racing	295	0	0	0
Softball	295	0	0	0
Playing soccer	295	0	0	0
Doing aerobics	295	4.58E-06	0.007480629	0.030580567
Hunting	295	1.99E-04	0.183058297	0.186683464
Participating in martial arts	295	1.67E-05	0.054901036	0.054901036
Bowling	295	0	0	0
Rollerblading	295	3.95E-06	0.012400697	0.012400697
Golfing	295	0	0	0
Playing volleyball	295	0	0	0
Boating	295	2.36E-05	0.035111026	0.035111026
Playing baseball	295	0	0	0
Running	300	4.77E-04	0.325280606	0.257722618
Playing racquet sports	300	0	0	0
Weightlifting/strength training	300	3.59E-04	0.224309959	0.207799463
Hiking	300	8.29E-06	0.016390844	0.015883014
Biking	300	7.65E-05	0.092144101	0.07030333
Walking	300	5.55E-04	0.119964316	0.100196665
Using cardiovascular equipment	300	6.09E-04	0.456787044	0.392364552
Participating in water sports	300	7.65E-05	0.023886775	0.024177704
Playing basketball	300	5.42E-06	0.002593707	0.002593707
"Working out, unspecified"	300	0.00121514	0.349527861	0.291936343
"Skiing, ice skating, snowboarding"	300	0	0	0
Doing yoga	300	6.81E-05	0.15944623	0.11203088
Playing billiards	300	1.48E-05	0.01804848	0.014824898
Fishing	300	1.71E-04	0.102180439	0.101605912
Dancing	300	2.74E-05	0.036718118	0.031560568
Playing football	300	0	0	0
Vehicle touring/racing	300	0	0	0
Softball	300	0	0	0
Playing soccer	300	0	0	0
Doing aerobics	300	4.40E-05	0.071917541	0.063478891
Hunting	300	2.13E-04	0.195601394	0.194431195
Participating in martial arts	300	1.67E-05	0.054901036	0.050018582
Bowling	300	0	0	0
Rollerblading	300	3.95E-06	0.012400697	0.012400697
Golfing	300	0	0	0
Playing volleyball	300	0	0	0
Boating	300	2.36E-05	0.035111026	0.035111026
Playing baseball	300	0	0	0
Running	305	4.64E-04	0.316647031	0.327807139
Playing racquet sports	305	0	0	0
Weightlifting/strength training	305	3.83E-04	0.239514648	0.238264683
Hiking	305	7.52E-06	0.014867353	0.015375184
Biking	305	7.65E-05	0.092144101	0.093294998
Walking	305	5.16E-04	0.111620266	0.115069904
Using cardiovascular equipment	305	5.90E-04	0.442946515	0.45731644
Participating in water sports	305	7.93E-05	0.024759563	0.024468633
Playing basketball	305	5.42E-06	0.002593707	0.002593707
"Working out, unspecified"	305	0.001154264	0.332017326	0.356070662
"Skiing, ice skating, snowboarding"	305	0	0	0
Doing yoga	305	5.52E-05	0.129413559	0.135112703
Playing billiards	305	6.87E-06	0.008377735	0.011601317
Fishing	305	1.74E-04	0.10390391	0.105615002
Dancing	305	1.58E-05	0.021245469	0.026403019
Playing football	305	0	0	0
Vehicle touring/racing	305	0	0	0
Softball	305	0	0	0
Playing soccer	305	0	0	0
Doing aerobics	305	6.79E-05	0.111038503	0.097998183
Hunting	305	2.22E-04	0.204633895	0.206943734
Participating in martial arts	305	1.23E-05	0.040253674	0.045136128
Bowling	305	0	0	0
Rollerblading	305	3.95E-06	0.012400697	0.012400697
Golfing	305	0	0	0
Playing volleyball	305	0	0	0
Boating	305	2.36E-05	0.035111026	0.035111026
Playing baseball	305	0	0	0
Running	310	5.01E-04	0.341493779	0.347513388
Playing racquet sports	310	0	0	0
Weightlifting/strength training	310	4.02E-04	0.250969442	0.250709888
Hiking	310	7.52E-06	0.014867353	0.014867353
Biking	310	7.93E-05	0.095596791	0.094445895
Walking	310	5.25E-04	0.113625129	0.115479233
Using cardiovascular equipment	310	6.29E-04	0.47221576	0.497197392
Participating in water sports	310	7.93E-05	0.024759563	0.024078888
Playing basketball	310	5.42E-06	0.002593707	0.002593707
"Working out, unspecified"	310	0.001344254	0.386666798	0.385944063
"Skiing, ice skating, snowboarding"	310	0	0	0
Doing yoga	310	4.97E-05	0.116478321	0.122869937
Playing billiards	310	6.87E-06	0.008377735	0.008377735
Fishing	310	1.85E-04	0.110760655	0.109851426
Dancing	310	1.58E-05	0.021245469	0.021245469
Playing football	310	0	0	0
Vehicle touring/racing	310	0	0	0
Softball	310	0	0	0.012279854
Playing soccer	310	0	0	0
Doing aerobics	310	6.79E-05	0.111038503	0.119432944
Hunting	310	2.40E-04	0.220595912	0.228084284
Participating in martial arts	310	1.23E-05	0.040253674	0.038657529
Bowling	310	0	0	0
Rollerblading	310	3.95E-06	0.012400697	0.012400697
Golfing	310	0	0	6.17E-04
Playing volleyball	310	0	0	0
Boating	310	2.36E-05	0.035111026	0.035111026
Playing baseball	310	0	0	0
Running	315	5.63E-04	0.384399352	0.377510909
Playing racquet sports	315	0	0	0.008654001
Weightlifting/strength training	315	4.19E-04	0.261645573	0.274693724
Hiking	315	7.52E-06	0.014867353	0.014867353
Biking	315	7.93E-05	0.095596791	0.095596791
Walking	315	5.60E-04	0.121192304	0.120496406
Using cardiovascular equipment	315	7.68E-04	0.576429901	0.55089805
Participating in water sports	315	7.28E-05	0.022717539	0.021731028
Playing basketball	315	5.42E-06	0.002593707	0.003280923
"Working out, unspecified"	315	0.001526706	0.439148065	0.43373303
"Skiing, ice skating, snowboarding"	315	0	0	0
Doing yoga	315	5.24E-05	0.12271793	0.122273257
Playing billiards	315	6.87E-06	0.008377735	0.008377735
Fishing	315	1.92E-04	0.114889713	0.117994047
Dancing	315	1.58E-05	0.021245469	0.021245469
Playing football	315	0	0	0
Vehicle touring/racing	315	0	0	0
Softball	315	2.19E-05	0.036839561	0.024559707
Playing soccer	315	0	0	0
Doing aerobics	315	8.33E-05	0.136221825	0.129114186
Hunting	315	2.82E-04	0.259023046	0.256910355
Participating in martial arts	315	1.08E-05	0.03546524	0.037061385
Bowling	315	0	0	0
Rollerblading	315	3.95E-06	0.012400697	0.012400697
Golfing	315	4.34E-06	0.001851453	0.001548397
Playing volleyball	315	0	0	0
Boating	315	2.36E-05	0.035111026	0.035111026
Playing baseball	315	0	0	0
Running	320	5.96E-04	0.406639594	0.39711127
Playing racquet sports	320	1.25E-05	0.025962003	0.017308002
Weightlifting/strength training	320	4.98E-04	0.311466156	0.298022691
Hiking	320	7.52E-06	0.014867353	0.014867353
Biking	320	7.93E-05	0.095596791	0.091895523
Walking	320	5.86E-04	0.126671785	0.124528538
Using cardiovascular equipment	320	8.05E-04	0.604048489	0.584378296
Participating in water sports	320	5.68E-05	0.017715981	0.022415565
Playing basketball	320	9.73E-06	0.004655354	0.003968139
"Working out, unspecified"	320	0.001652682	0.475384226	0.4570687
"Skiing, ice skating, snowboarding"	320	0	0	0
Doing yoga	320	5.45E-05	0.127623521	0.129002754
Playing billiards	320	6.87E-06	0.008377735	0.008377735
Fishing	320	2.15E-04	0.128331774	0.123851087
Dancing	320	1.58E-05	0.021245469	0.019616151
Playing football	320	0	0	0
Vehicle touring/racing	320	0	0	0
Softball	320	2.19E-05	0.036839561	0.036839561
Playing soccer	320	0	0	0
Doing aerobics	320	8.57E-05	0.140082229	0.138795428
Hunting	320	3.16E-04	0.291112109	0.282670277
Participating in martial arts	320	1.08E-05	0.03546524	0.03546524
Bowling	320	0	0	0
Rollerblading	320	3.95E-06	0.012400697	0.012400697
Golfing	320	6.55E-06	0.002793737	0.002479642
Playing volleyball	320	0	0	0
Boating	320	2.36E-05	0.035111026	0.035111026
Playing baseball	320	0	0	0
Running	325	5.87E-04	0.400294865	0.462881806
Playing racquet sports	325	1.25E-05	0.025962003	0.025962003
Weightlifting/strength training	325	5.14E-04	0.320956344	0.353812693
Hiking	325	7.52E-06	0.014867353	0.014867353
Biking	325	7.01E-05	0.084492986	0.112246272
Walking	325	5.81E-04	0.125721525	0.146519507
Using cardiovascular equipment	325	7.63E-04	0.572656498	0.635065255
Participating in water sports	325	8.59E-05	0.026813176	0.027475242
Playing basketball	325	9.73E-06	0.004655354	0.006334911
"Working out, unspecified"	325	0.001587635	0.45667381	0.527856511
"Skiing, ice skating, snowboarding"	325	0	0	0
Doing yoga	325	5.83E-05	0.136666812	0.18250948
Playing billiards	325	6.87E-06	0.008377735	0.008377735
Fishing	325	2.15E-04	0.128331774	0.131510408
Dancing	325	1.22E-05	0.016357515	0.017986833
Playing football	325	0	0	0
Vehicle touring/racing	325	0	0	0
Softball	325	2.19E-05	0.036839561	0.036839561
Playing soccer	325	0	0	0
Doing aerobics	325	8.57E-05	0.140082229	0.150280793
Hunting	325	3.24E-04	0.297875677	0.325783173
Participating in martial arts	325	1.08E-05	0.03546524	0.03546524
Bowling	325	0	0	0
Rollerblading	325	3.95E-06	0.012400697	0.012400697
Golfing	325	6.55E-06	0.002793737	0.002793737
Playing volleyball	325	0	0	0
Boating	325	2.36E-05	0.035111026	0.035111026
Playing baseball	325	0	0	0.00446414
Running	330	8.53E-04	0.581710958	0.500304801
Playing racquet sports	330	1.25E-05	0.025962003	0.025962003
Weightlifting/strength training	330	6.87E-04	0.42901558	0.397212418
Hiking	330	7.52E-06	0.014867353	0.014867353
Biking	330	1.30E-04	0.156649038	0.128202617
Walking	330	8.65E-04	0.187165212	0.169866101
Using cardiovascular equipment	330	9.71E-04	0.728490778	0.647096375
Participating in water sports	330	1.21E-04	0.037896568	0.03510433
Playing basketball	330	2.03E-05	0.009694025	0.008803202
